Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202100025774;155A 617;A01;1;1;1;1;1969;1;1;0;-1;0;0;-1
202100005452;192A 048;B01;1;1;4;2;2000;4;1;-1;-1;0;0;-1
202100014446;175A 877;B01;1;1;4;1;1976;0;8;8;-1;-1;-1;-1
202100000339;201A 116;A01;1;1;1;1;1990;0;8;-1;-1;-1;-1;-1
202100050707;111A 054;B01;1;1;3;1;1991;0;2;6;-1;0;0;-1
202100041426;127A 557;A01;1;1;1;1;1986;1;1;0;-1;-1;-1;-1
202100019835;166A 180;B01;1;1;4;2;1993;0;1;-1;-1;-1;-1;-1
202100017657;170A 059;A01;1;1;1;2;2001;2;1;0;-1;-1;-1;-1
202100007490;188A 367;B01;1;1;1;1;2002;5;1;-1;-1;0;0;-1
202100006701;189A 803;B01;1;1;4;1;1943;5;1;5;-1;-1;-1;-1
202100036943;135A 662;B01;4;2;4;2;2009;0;1;0;-1;-1;-1;-1
202100017281;170A 762;B01;1;1;3;1;1999;5;2;6;-1;0;0;-1
202100015588;173A 817;B01;1;1;1;1;1998;5;1;-1;-1;-1;-1;-1
202100028058;151A 560;A01;1;1;1;1;1997;0;8;-1;-1;0;0;-1
202100040011;130A 075;A01;1;1;3;1;1953;5;1;-1;-1;0;0;-1
202100003569;195A 372;B01;1;1;4;1;2003;4;2;8;-1;-1;0;-1
202100038926;132A 052;B01;1;1;1;2;1980;5;1;0;-1;-1;-1;-1
202100028561;150A 667;A01;9;2;4;2;2018;5;3;-1;-1;0;0;-1
202100025154;156A 692;B01;1;1;4;1;1967;5;2;0;-1;-1;-1;-1
202100010801;182A 423;A01;1;1;1;1;1935;5;1;-1;-1;0;0;-1
202100001210;199A 609;A01;1;1;1;1;1990;9;8;8;-1;0;0;-1
202100018674;168A 262;A01;1;1;2;1;1961;3;2;6;-1;0;0;-1
202100019125;167A 440;A01;1;1;4;1;1988;1;2;6;-1;-1;-1;-1
202100009318;185A 049;A01;2;1;4;1;2005;9;2;8;-1;-1;-1;-1
202100019057;167A 577;B01;1;1;3;1;1979;0;2;-1;-1;0;0;-1
202100049619;113A 050;B01;2;2;4;1;1980;4;1;8;-1;-1;-1;-1
202100032436;143A 795;A01;1;1;1;1;1962;0;1;0;-1;-1;-1;-1
202100016658;171A 852;D01;1;1;4;1;1989;0;1;0;-1;-1;-1;-1
202100007618;188A 126;A01;1;1;1;1;1984;0;1;0;-1;-1;-1;-1
