Num_Acc;dep;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;larrout;surf;infra;situ;vma
202100043362;93;4;PARIS (RUE DE);0;Inconnu;2;2;0;1;1;0;2;-1.0;1;0;1;50
202100025167;1;3;1005;-1;Inconnu;2;2;0;2;17;700;4;4.0;1;0;1;70
202100001058;75;4;BOULEVARD BARBES;0;Inconnu;3;4;1;2;-1;-1;3;-1.0;1;0;1;30
202100033855;17;4;SAINT-VINCENT   RUE;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;9;1;30
202100019404;12;3;15;-1;Inconnu;2;2;0;2;53;690;3;-1.0;1;0;3;80
202100018716;94;1;A4;0;Inconnu;-1;3;0;1;7;500;1;-1.0;2;0;1;90
202100008298;38;3;19;0;D;2;2;0;1;10;450;1;-1.0;2;0;1;80
202100031165;13;7;LOUIS REGIS (RUE);0;Inconnu;2;4;0;1;0;0;1;-1.0;1;0;1;50
202100056461;29;4;Hent Maner Ar Ster;-1;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;5;1;50
202100025662;69;3;627;-1;Inconnu;2;2;0;1;-1;-1;4;-1.0;2;0;3;80
202100031633;95;3;370;0;D;2;2;0;3;3;200;1;-1.0;1;0;1;50
202100025655;91;3;35;0;A;2;2;0;1;0;0;1;-1.0;1;5;1;80
202100032317;75;4;BOULEVARD DE CLICHY;0;Inconnu;3;2;3;1;-1;-1;1;-1.0;1;0;6;50
202100052238;91;2;RN 118;0;Inconnu;3;4;0;1;1;649;1;-1.0;2;0;1;90
202100035621;27;4;;-1;Inconnu;-1;1;0;2;-1;-1;1;3.0;1;0;1;50
202100027909;63;7;MOULIN (BD JEAN);0;Inconnu;3;5;0;1;-1;-1;1;-1.0;1;0;1;50
202100035804;74;3;1508;-1;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100032289;29;4;GALLIENI GENERAL (DE 33 ET 34 A FIN);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;30
202100044608;93;3;JEAN LOLIVE (AVENUE)(1/55 2/60);0;Inconnu;-1;2;0;1;0;1;1;-1.0;1;0;5;50
202100010481;91;3;AV FRANCOIS MITTERRAND;0;Inconnu;3;2;0;1;-1;-1;1;-1.0;1;0;8;50
202100030124;33;1;AUTOROUTE A 10;0;Inconnu;3;6;0;1;538;200;1;-1.0;2;0;1;110
202100006528;69;3;120;0;Inconnu;2;2;0;2;1;20;1;-1.0;1;0;1;80
202100043739;972;3;ROUTE DEPARTEMENTALE 15;0;Inconnu;2;2;0;1;2;99;1;-1.0;1;0;1;70
202100020460;59;7;CARNOT SADI RUE;0;Inconnu;2;4;3;1;-1;-1;1;-1.0;2;0;6;50
202100026824;33;4;COURS DE LA SOMME;0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100034041;66;4;ELNE (ROUTE D');0;Inconnu;-1;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100008249;30;4;LAGARAUD (CHEMIN DE);0;Inconnu;2;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100016720;58;3;985;0;D;2;2;0;2;15;50;1;-1.0;9;0;3;50
202100027140;27;4;;0;Inconnu;2;2;0;1;-1;-1;2;4.0;1;0;1;50
202100042245;44;3;94;-1;Inconnu;2;2;0;1;4;395;3;-1.0;1;2;1;80
202100015262;33;3;936;0;Inconnu;2;3;0;4;26;130;1;-1.0;1;0;1;80
202100006254;35;4;GROS MALHON (AVENUE);0;Inconnu;2;2;0;2;-1;-1;1;-1.0;2;0;1;50
202100046754;51;4;VENISE (RUE);0;Inconnu;1;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100030273;41;3;675;-1;Inconnu;2;2;0;2;21;650;4;-1.0;1;0;1;90
202100028153;10;4;MAJOR GENERAL VANIER (AVENUE);0;Inconnu;1;2;0;1;-1;-1;1;-1.0;1;0;1;50
202100037573;76;4;CPAM (RUE LAZARE CARNOT);0;Inconnu;1;2;0;1;-1;-1;1;-1.0;1;0;1;50
