id_vehicule;num_veh;senc;catv;obs;obsm;choc;manv;motor;occutc
157A455;A01;2;33;0;2;1;3;1;0
119A105;B01;1;7;0;2;3;1;1;0
152A443;B01;3;10;0;2;1;2;1;0
166A062;D01;1;7;0;2;5;24;1;0
106A338;A01;1;7;0;2;1;1;1;0
131A286;A01;3;7;0;1;6;20;1;0
169A645;B01;-1;32;0;2;1;26;1;0
185A737;B01;1;0;0;2;0;0;0;0
201A179;B01;1;7;0;2;4;23;2;0
166A560;A01;1;7;4;0;1;26;1;0
116A673;B01;2;7;0;2;1;15;1;0
167A785;A01;1;7;0;2;1;15;1;0
200A883;C01;2;7;0;2;4;2;1;0
149A681;A01;3;10;0;0;0;1;1;0
182A338;B01;2;7;0;2;8;15;1;0
161A230;B01;1;7;0;2;2;3;1;0
110A483;A01;1;7;4;0;1;12;1;0
156A581;A01;3;7;2;0;1;0;0;0
155A494;A01;2;7;2;0;1;14;1;0
160A026;A01;1;3;0;2;1;15;1;0
169A311;B01;0;1;0;2;8;19;5;0
125A463;B01;2;7;0;2;4;2;1;0
165A825;B01;2;33;0;2;1;1;1;0
154A175;A01;1;7;0;2;1;0;1;0
139A391;A01;1;7;6;0;1;13;1;0
116A498;B01;1;7;0;2;4;1;1;0
174A860;A01;1;7;0;2;2;2;1;0
157A001;B01;1;7;0;2;4;1;1;0
199A430;A01;0;2;0;2;1;1;1;0
121A636;A01;2;1;0;0;7;1;5;0
140A033;C01;2;1;0;2;4;2;5;0
160A649;D01;1;7;0;2;1;2;1;0
200A265;A01;2;33;0;2;2;3;1;0
186A401;A01;1;33;0;2;3;3;0;0
140A596;B01;3;10;0;2;4;1;1;0
144A650;C01;1;7;0;2;1;2;1;0
127A635;A01;2;33;4;0;3;13;1;0
176A764;A01;0;34;0;2;1;1;1;0
113A442;B01;2;7;0;2;6;1;1;0
196A639;B01;1;7;0;2;8;2;0;0
128A197;B01;2;7;0;2;3;1;1;0
147A936;B01;1;7;0;2;3;21;1;0
134A257;A01;1;7;6;0;3;1;1;0
123A491;A01;2;7;15;0;2;14;1;0
116A143;A01;1;43;0;0;0;26;1;0
104A774;A01;1;14;0;1;3;1;1;0
181A764;A01;1;7;0;2;1;0;1;0
158A451;B01;1;7;0;2;3;1;2;0
199A785;B01;2;7;0;2;1;1;1;0
151A788;A01;1;1;0;0;0;1;5;0
190A697;A01;1;7;0;2;2;13;1;0
187A892;A01;2;7;1;2;3;26;1;0
163A698;A01;3;30;16;0;8;2;1;0
116A581;A01;2;10;0;2;5;15;1;0
170A664;B01;3;7;0;2;6;2;1;0
182A889;A01;0;34;0;2;1;1;1;0
196A495;A01;1;7;4;0;2;1;1;0
197A533;A01;1;7;0;1;4;4;1;0
196A876;A01;1;7;0;2;4;19;0;0
164A267;B01;2;33;0;2;4;1;1;0
159A901;A01;0;7;0;1;3;1;1;0
110A070;C01;1;10;0;2;4;1;1;0
147A036;A01;2;2;0;2;1;13;1;0
180A289;B01;2;33;0;2;1;17;1;0
189A613;B01;2;7;0;2;7;12;1;0
109A894;B01;1;21;0;2;6;15;1;0
118A630;A01;1;7;0;2;7;15;1;0
167A010;A01;2;7;0;1;3;1;2;0
197A157;A01;1;7;1;2;1;2;3;0
165A765;Z01;1;7;1;2;0;0;0;0
158A091;A01;1;21;0;2;1;15;1;0
158A162;A01;1;7;4;0;3;1;1;0
143A728;B01;1;31;0;2;0;1;1;0
185A353;A01;1;7;0;2;1;13;1;0
